hb_ratio_mol,hv_ratio_mol,mw_phbv,mn_phbv,pdi,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,spread_speed,young_modulus,tensile_strength,elongation_at_break,tg1,tc1,tm1,td5,dhm1,crystallinity
88.0,12.0,,,,no_additive,10.0,no_additive,0.0,,,,,,104.0,154.6,,77.0,72.6
100.0,0.0,1170000.0,650000.0,1.8,no_additive,0.0,no_additive,0.0,,,,,4.0,,178.0,,91.0,
98.0,2.0,,,,no_additive,0.0,no_additive,0.0,,2160.0,,,,,,,,55.9
100.0,0.0,440000.0,260000.0,1.6923076923076923,no_additive,0.0,no_additive,0.0,,,,,3.0,,172.0,,92.0,63.0
100.0,0.0,440000.0,260000.0,1.6923076923076923,reinforcment_and_stiffening_modifiers,10.0,no_additive,0.0,,,,,7.0,,174.0,,90.0,61.0
100.0,0.0,440000.0,260000.0,1.6923076923076923,reinforcment_and_stiffening_modifiers,20.0,no_additive,0.0,,,,,9.0,,173.0,,85.0,58.0
100.0,0.0,440000.0,260000.0,1.6923076923076923,reinforcment_and_stiffening_modifiers,40.0,no_additive,0.0,,,,,15.0,,170.0,,78.0,53.0
100.0,0.0,440000.0,260000.0,1.6923076923076923,reinforcment_and_stiffening_modifiers,50.0,no_additive,0.0,,,,,18.0,,167.0,,34.0,23.0
17.0,83.0,2270000.0,800000.0,2.8375,no_additive,0.0,no_additive,0.0,,,,,-9.3,,91.6,,59.8,
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,,,,,,107.4,172.4,274.6,64.8,41.6
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,,,,,,108.6,174.1,276.5,57.4,35.4
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,2.0,no_additive,0.0,,,,,,109.5,176.2,272.6,66.1,40.1
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,,,,,,108.3,174.5,273.4,64.8,41.7
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,2.0,no_additive,0.0,,,,,,108.1,175.4,278.2,65.4,38.5
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,,,,,,107.6,176.1,273.9,61.6,38.1
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,2.0,no_additive,0.0,,,,,,109.5,174.5,275.8,65.8,39.5
96.6,3.4,,,,no_additive,0.0,no_additive,0.0,,,,,,85.0,171.0,,60.5,41.0
96.6,3.4,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,,,,,85.0,170.0,,76.0,54.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,,,,,87.0,164.0,,77.0,59.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,3.0,,,,,,84.0,160.0,,85.9,68.0
